epoch,mAP50-95,time,memory
0,0,0,1316.93359375
1,0.22384,62.53175711631775,1358.822265625
2,0.33449,122.48182797431946,1342.30224609375
3,0.49921,181.35743188858032,1076.79833984375
4,0.47167,239.64106369018555,1334.78369140625
5,0.53674,298.04225301742554,1069.0771484375
6,0.49516,356.2412796020508,1337.13525390625
7,0.51643,414.4958188533783,1074.33642578125
8,0.52722,472.7381362915039,1335.2294921875
9,0.54165,531.3296627998352,1074.72265625
10,0.51252,589.5662968158722,1338.419921875
11,0.56009,648.0863926410675,1075.8896484375
12,0.54474,706.3331072330475,1334.26708984375
13,0.54754,764.4371054172516,1073.2548828125
14,0.54483,822.6671733856201,1330.67431640625
15,0.55583,881.2304241657257,1077.076171875
16,0.56309,939.6594741344452,1329.19482421875
17,0.54829,997.7878568172455,1076.43017578125
18,0.54786,1056.047903060913,1335.13720703125
19,0.53487,1114.2079710960388,1073.38916015625
20,0.52822,1172.5118639469147,1335.38330078125
21,0.57889,1231.019784450531,1073.12646484375
22,0.57232,1289.167218208313,1333.3505859375
23,0.57558,1347.3381171226501,1073.61328125
24,0.57581,1405.5256931781769,1336.1259765625
25,0.57325,1463.6605849266052,1076.0478515625
26,0.59009,1521.921931028366,1335.65283203125
27,0.56248,1580.2274823188782,1076.52685546875
28,0.56048,1638.4453918933868,1336.16552734375
29,0.59509,1696.6731810569763,1070.552734375
30,0.58807,1754.8572611808777,1335.51171875
31,0.58771,1812.8879747390747,1078.11669921875
32,0.57873,1871.0599792003632,1329.64013671875
33,0.59383,1929.1244428157806,1080.17333984375
34,0.58413,1987.3667576313019,1331.5048828125
35,0.61077,2045.6649384498596,1076.7392578125
36,0.58652,2103.696564435959,1334.302734375
37,0.56847,2161.735956430435,1071.31591796875
38,0.60867,2220.0980961322784,1331.63818359375
39,0.58747,2278.120609998703,1075.69970703125
40,0.60416,2336.1539080142975,1331.2939453125
41,0.57057,2394.212037086487,1072.755859375
42,0.592,2452.243280172348,1334.76513671875
43,0.59532,2510.2560889720917,1073.8154296875
44,0.58272,2568.318817615509,1332.91943359375
45,0.60523,2626.4638113975525,1072.70458984375
46,0.60658,2684.4657275676727,1333.220703125
47,0.61092,2742.527453660965,1072.55078125
48,0.61241,2800.772846221924,1331.521484375
49,0.61558,2858.8290536403656,1069.88427734375
50,0.60951,2916.7763397693634,1332.37939453125
51,0.60617,2974.898846387863,1074.166015625
52,0.61711,3032.937877893448,1330.45556640625
53,0.61243,3090.9565436840057,1076.57470703125
54,0.6211,3149.1216399669647,1330.41162109375
55,0.61046,3207.0774788856506,1071.5615234375
56,0.60589,3265.050740003586,1330.8662109375
57,0.59198,3323.0243356227875,1071.6650390625
58,0.61515,3381.0097086429596,1332.509765625
59,0.59723,3438.9843747615814,1075.14599609375
60,0.59758,3496.9734721183777,1331.21533203125
61,0.61713,3554.9310019016266,1073.28662109375
62,0.58808,3612.9894664287567,1335.1591796875
63,0.60132,3671.0121400356293,1075.279296875
64,0.59941,3728.9614067077637,1329.90380859375
65,0.60863,3786.93728017807,1071.916015625
66,0.60355,3844.931464910507,1335.08056640625
67,0.59595,3902.8443191051483,1072.7314453125
68,0.59879,3960.866767168045,1335.67431640625
69,0.60424,4018.8802099227905,1078.5859375
70,0.61051,4076.8389258384705,1326.67529296875
71,0.60715,4134.817663669586,1075.43701171875
72,0.60086,4192.757892608643,1335.66064453125
73,0.60549,4250.796580791473,1074.80615234375
74,0.61594,4308.888892650604,1330.330078125
75,0.60897,4366.766224861145,1073.18359375
76,0.60843,4424.681328296661,1332.9970703125
77,0.60546,4482.673218011856,1074.04541015625
78,0.61165,4540.62397146225,1332.326171875
79,0.60717,4598.563367843628,1076.71484375
80,0.60826,4656.441010713577,1330.93798828125
81,0.61103,4714.338296890259,1073.30078125
82,0.6141,4772.257587432861,1332.609375
83,0.61725,4830.103228092194,1072.720703125
84,0.61888,4888.012521982193,1331.36376953125
85,0.61092,4945.832455873489,1074.02783203125
86,0.61838,5003.820760965347,1331.32666015625
87,0.61801,5061.861056566238,1073.068359375
88,0.61638,5119.812177181244,1330.80810546875
89,0.61434,5177.634437084198,1072.73046875
90,0.60887,5235.574676990509,1336.51904296875
91,0.62092,5293.342816829681,1073.04052734375
92,0.62632,5351.030906915665,1333.83935546875
93,0.62511,5408.677944660187,1072.52294921875
94,0.62779,5466.3077890872955,1336.845703125
95,0.62811,5524.064497709274,1071.23779296875
96,0.62947,5581.700035572052,1331.572265625
97,0.63031,5639.348052740097,1073.556640625
98,0.62702,5696.75229549408,1332.19970703125
99,0.6283,5754.114344120026,1072.2158203125
